rowid,kepoi_name,koi_score,koi_period,koi_eccen,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,Predict
5589,K02806.01,1,24.7543849,0,0.023886,2.15857,2.1,0.153,491,13.7,41.2,1,4852,4.519,0.2,0.804,0.778,,0
5594,K02163.02,1,17.7838298,0,0.014378,2.40528,1.6,0.1351,729,66.87,34.26,3,6014,4.436,-0.04,1.021,1.037,,0
5611,K02614.01,0.999,7.99022379,0,0.011686,1.9607,1.97,0.0785,1113,361.73,18.77,1,5689,4.065,0.02,1.542,1.007,,0
5637,K02167.03,0.998,76.5369531,0,0.023329,3.3985,3.73,0.3528,503,15.15,101.7,3,5596,4.105,0.14,1.466,0.998,,0
5671,K02198.01,0.991,23.9210408,0,0.013956,0.08734,3.01,0.1871,1020,255.65,13.82,1,7121,4.031,-0.12,1.972,1.521,,0
5676,K03935.01,1,1.093665854,0,0.013555,3.12612,1.29,0.0206,1681,1880.33,5.825,1,5845,4.541,-0.16,0.874,0.968,,0
5683,K04009.01,0.997,175.13892,0,0.022585,1.25633,3.06,0.6095,346,3.39,126.8,2,5497,4.243,0.32,1.241,0.981,,0
5722,K04015.01,1,133.303247,0,0.028288,3.07169,2.67,0.4765,301,1.94,142.4,1,5064,4.474,0.18,0.864,0.811,,0
5726,K00266.01,1,25.30893566,0,0.01257,0.26856,1.77,0.1763,710,60.2,20.87,2,5949,4.272,0.18,1.292,1.14,,0
5771,K02135.03,0.999,8.48651582,0,0.009651,0.50575,1.34,0.0838,1060,298.03,12.44,3,6178,4.269,-0.04,1.267,1.085,,0
5784,K01951.01,0.999,37.3228722,0,0.016573,0.45356,35.34,0.3344,1654,1769.88,32.2,1,4907,2.41,0.21,19.53,3.573,,0
5819,K02147.02,0.854,10.32736351,0,0.011237,3.96043,1.25,0.0934,838,116.56,28.2,2,5757,4.431,0.14,1.017,1.016,,0
5825,K01658.01,1,1.544928892,0,0.087071,0.92015,13.43,0.0274,1997,3765.46,4.8783,1,6309,4.199,-0.1,1.412,1.15,,0
5839,K00351.05,0.999,8.71980135,0,0.011679,1.20992,1.53,0.0854,987,224.47,16.94,7,5970,4.317,0.1,1.2,1.089,,0
5840,K00351.06,0.916,7.00821787,0,0.009852,1.06266,1.29,0.0738,1062,300.58,14.03,7,5970,4.317,0.1,1.2,1.089,,0
5872,K03009.01,0.986,0.764863517,0,0.011108,4.02372,1.04,0.0152,1733,2145.14,4.99,1,5231,4.476,0,0.86,0.808,,0
5881,K00351.04,0.971,91.9401253,0,0.020017,1.05759,2.62,0.4105,450,9.71,77.89,7,5970,4.317,0.1,1.2,1.089,,0
5885,K03096.01,0.941,14.4540329,0,0.008382,0.21194,0.72,0.1038,676,49.51,13.28,1,5559,4.496,-0.64,0.79,0.714,,0
5891,K02793.02,0.999,1.766789509,0,0.028909,6.82182,1.4,0.0222,730,66.95,10.402,2,3698,4.81,-0.2,0.444,0.464,,0
5894,K00577.02,1,0.638162933,0,0.009427,3.02639,0.91,0.0135,1874,2928.31,4.024,2,5244,4.449,0.02,0.888,0.808,,0
5943,K03791.02,0.902,220.142913,0,0.039068,0.27951,5.94,0.7211,389,5.4,89.46,2,6340,4.163,-0.38,1.393,1.031,,0
5972,K04928.01,0.998,3.290304098,0,0.105209,7.28769,4.91,0.0327,540,20.06,16.097,1,3386,4.81,0.48,0.427,0.43,,0
5987,K05178.01,1,4.13960513,0,0.009625,0.8298,1.24,0.0537,1352,789.48,9.09,1,6535,4.373,-0.1,1.181,1.202,,0
6093,K05084.01,0.988,287.377314,0,0.059597,0.43238,11.67,0.8748,350,3.56,123.59,1,5548,3.964,0.12,1.793,1.079,,0
6219,K05245.01,1,7.20281185,0,0.039044,3.00576,3.06,0.0643,794,93.79,20.2,1,5388,4.56,-0.7,0.717,0.681,,0
6242,K02045.03,0.992,16.9348104,0,0.01703,2.64272,1.31,0.115,508,15.77,34.2,3,4650,4.589,-0.04,0.706,0.704,,0
6266,K02473.03,0.94,14.5123622,0,0.021852,0.13708,2.08,0.1087,636,38.6,11.51,3,5094,4.469,0.16,0.87,0.813,,0
6296,K03281.01,0.958,47.0320478,0,0.017222,1.96539,1.98,0.2447,492,13.83,61.25,1,5370,4.337,0.18,1.055,0.881,,0
6382,K05416.01,0,76.377855,0,0.098439,4.73314,6.28,0.2952,240,0.78,113.4,1,3869,4.674,0.21,0.584,0.587,,0
6476,K05568.01,0.814,62.134919,0,0.012505,0.15864,6.71,0.3875,925,172.96,31.9,1,5889,3.358,0.28,4.912,2.006,,0
6505,K05454.01,,509.997402,0,0.031704,7.73631,2.62,1.1218,182,0.26,473.8,1,5037,4.54,-0.2,0.756,0.724,,0
6518,K05706.01,0.904,425.483539,0,0.028707,0.6854,3.2,1.1546,248,0.89,187.2,1,5977,4.473,0.21,1.022,1.133,,0
6527,K05827.01,0.999,6.10968225,0,0.007145,0.27642,0.79,0.0596,1093,337.78,8.17,1,6024,4.309,-0.88,1.009,0.756,,0
6560,K05466.01,1,4.09513876,0,0.016601,0.07213,1.75,0.0511,1122,374.3,4,1,5858,4.495,0.1,0.963,1.056,,0
